시간대,예측지지율
2025-05-26 16:00:00,28.973948893249037
2025-05-26 17:00:00,29.028359181284905
2025-05-26 18:00:00,29.083186246156693
2025-05-26 19:00:00,29.137609994113447
2025-05-26 20:00:00,29.191847706735135
2025-05-26 21:00:00,29.24627818465233
2025-05-26 22:00:00,29.30052070438862
2025-05-26 23:00:00,29.355205478668214
2025-05-27 00:00:00,29.409502318799497
2025-05-27 01:00:00,29.464237087070945
2025-05-27 02:00:00,29.51858344048262
2025-05-27 03:00:00,29.573352339267732
2025-05-27 04:00:00,29.627729938924315
2025-05-27 05:00:00,29.682528641819957
2025-05-27 06:00:00,29.73692931562662
2025-05-27 07:00:00,29.79174772769213
2025-05-27 08:00:00,29.84616330355406
2025-05-27 09:00:00,29.900383710563183
2025-05-27 10:00:00,29.954807939231397
2025-05-27 11:00:00,30.009038921892646
2025-05-27 12:00:00,30.063714562654496
2025-05-27 13:00:00,30.11800323069096
2025-05-27 14:00:00,30.17273126900196
2025-05-27 15:00:00,30.227064162492756
2025-05-27 16:00:00,30.28183258056641
2025-05-27 17:00:00,30.336195758879185
2025-05-27 18:00:00,30.390987731814388
2025-05-27 19:00:00,30.44537734925747
2025-05-27 20:00:00,30.500190473496914
2025-05-27 21:00:00,30.554594992995263
2025-05-27 22:00:00,30.608806747198106
2025-05-27 23:00:00,30.663223765194417
2025-05-28 00:00:00,30.717449940741066
2025-05-28 01:00:00,30.772114525139333
2025-05-28 02:00:00,30.826397905349733
2025-05-28 03:00:00,30.881114406585695
2025-05-28 04:00:00,30.935438647270203
2025-05-28 05:00:00,30.990197931826117
2025-05-28 06:00:00,31.044557745158674
2025-05-28 07:00:00,31.099341065287593
2025-05-28 08:00:00,31.153724914193155
2025-05-28 09:00:00,31.208523136377337
2025-05-28 10:00:00,31.262928136587146
2025-05-28 11:00:00,31.317133160829545
2025-05-28 12:00:00,31.371540083885193
2025-05-28 13:00:00,31.425750876665116
2025-05-28 14:00:00,31.480410653948788
2025-05-28 15:00:00,31.534687784910204
2025-05-28 16:00:00,31.589398517608643
2025-05-28 17:00:00,31.643710259795192
2025-05-28 18:00:00,31.69845656514168
2025-05-28 19:00:00,31.752808687090877
2025-05-28 20:00:00,31.807585757970813
2025-05-28 21:00:00,31.861956146955492
2025-05-28 22:00:00,31.91675052344799
2025-05-28 23:00:00,31.971137256622317
2025-05-29 00:00:00,32.02533458948135
2025-05-29 01:00:00,32.079731898307806
2025-05-29 02:00:00,32.133937883973125
2025-05-29 03:00:00,32.18858516275883
2025-05-29 04:00:00,32.242848833799364
2025-05-29 05:00:00,32.29754899084568
2025-05-29 06:00:00,32.351857848763466
2025-05-29 07:00:00,32.40659550130367
2025-05-29 08:00:00,32.460926471948625
2025-05-29 09:00:00,32.515699697136874
2025-05-29 10:00:00,32.570059510469434
2025-05-29 11:00:00,32.62484138846397
2025-05-29 12:00:00,32.67921658456326
2025-05-29 13:00:00,32.73339949607849
2025-05-29 14:00:00,32.78778430640698
2025-05-29 15:00:00,32.84197587072849
2025-05-29 16:00:00,32.89660776674747
2025-05-29 17:00:00,32.9508570164442
2025-05-29 18:00:00,33.004924557209016
2025-05-29 19:00:00,33.05921995520592
2025-05-29 20:00:00,33.113335567116735
2025-05-29 21:00:00,33.16704834282398
2025-05-29 22:00:00,33.221191835999484
2025-05-29 23:00:00,33.27493730008602
2025-05-30 00:00:00,33.32848855674267
2025-05-30 01:00:00,33.38224075078964
2025-05-30 04:00:00,33.435816043019294
2025-05-30 05:00:00,33.48959034979343
2025-05-30 06:00:00,33.543158912062644
2025-05-30 07:00:00,33.597182227373125
2025-05-30 08:00:00,33.65082385778427
2025-05-30 09:00:00,33.70488851428032
2025-05-30 10:00:00,33.75881472587585
2025-05-30 11:00:00,33.812974563241006
2025-05-30 12:00:00,33.86698634147644
2025-05-30 13:00:00,33.92123270690441
2025-05-30 14:00:00,33.9752992862463
2025-05-30 15:00:00,34.0289861035347
2025-05-30 16:00:00,34.08311421394348
2025-05-30 17:00:00,34.13684621810913
2025-05-30 18:00:00,34.1910070168972
2025-05-30 19:00:00,34.24500821948051
2025-05-30 20:00:00,34.29925746917724
2025-05-30 21:00:00,34.35333558559417
2025-05-30 22:00:00,34.40764444351196
2025-05-30 23:00:00,34.461772553920746
2025-05-31 00:00:00,34.516135251522066
2025-05-31 01:00:00,34.5703133559227
2025-05-31 02:00:00,34.62470105051994
2025-05-31 03:00:00,34.678903190493585
2025-05-31 04:00:00,34.732717877030375
2025-05-31 05:00:00,34.78694212973118
2025-05-31 06:00:00,34.84077700614929
2025-05-31 07:00:00,34.89501856446266
2025-05-31 08:00:00,34.948908241987226
2025-05-31 09:00:00,35.00302193105221
2025-05-31 10:00:00,35.056751050949096
2025-05-31 11:00:00,35.11063976705074
2025-05-31 12:00:00,35.16411410987377
2025-05-31 13:00:00,35.217742280364035
2025-05-31 14:00:00,35.27091473639011
2025-05-31 15:00:00,35.32423717439175
2025-05-31 16:00:00,35.37708755373955
2025-05-31 17:00:00,35.42945529878139
2025-05-31 18:00:00,35.4819259160757
2025-05-31 19:00:00,35.533888902068135
2025-05-31 20:00:00,35.585958606004716
2025-05-31 21:00:00,35.63751971721649
2025-05-31 22:00:00,35.68917504787445
2025-05-31 23:00:00,35.74032467007637
2025-06-01 00:00:00,35.79155697464943
2025-06-01 01:00:00,35.842237422466276
2025-06-01 02:00:00,35.893003436923024
2025-06-01 03:00:00,35.94323105454445
2025-06-01 04:00:00,35.993554814457895
2025-06-01 05:00:00,36.043315180540084
