시간대,예측지지율
2025-05-26 15:00:00,7.306865102052689
2025-05-26 16:00:00,7.236673951148987
2025-05-26 17:00:00,7.267343607544899
2025-05-26 18:00:00,7.132278308272362
2025-05-26 19:00:00,7.153275284171105
2025-05-26 20:00:00,7.174345713853836
2025-05-26 21:00:00,7.194680145382882
2025-05-26 22:00:00,7.215064081549645
2025-05-26 23:00:00,7.235491389036179
2025-05-27 00:00:00,7.255948778986931
2025-05-27 01:00:00,7.276904135942459
2025-05-27 02:00:00,7.297933968901635
2025-05-27 03:00:00,7.318224883079529
2025-05-27 04:00:00,7.338572165369988
2025-05-27 05:00:00,7.358960336446763
2025-05-27 06:00:00,7.379390126466752
2025-05-27 07:00:00,7.400304886698723
2025-05-27 08:00:00,7.421302008628845
2025-05-27 09:00:00,7.441555830836296
2025-05-27 10:00:00,7.461868941783905
2025-05-27 11:00:00,7.482231849431992
2025-05-27 12:00:00,7.50264221727848
2025-05-27 13:00:00,7.522706782817841
2025-05-27 14:00:00,7.5428564846515656
2025-05-27 15:00:00,7.563081976771355
2025-05-27 16:00:00,7.583374643325806
2025-05-27 17:00:00,7.603321945667267
2025-05-27 18:00:00,7.623372200131416
2025-05-27 19:00:00,7.643518251180649
2025-05-27 20:00:00,7.663745641708374
2025-05-27 21:00:00,7.684044587612152
2025-05-27 22:00:00,7.70441158413887
2025-05-27 23:00:00,7.7243965625762945
2025-05-28 00:00:00,7.744490188360214
2025-05-28 01:00:00,7.76385161280632
2025-05-28 02:00:00,7.783291894197464
2025-05-28 03:00:00,7.801990336179734
2025-05-28 04:00:00,7.819944602251053
2025-05-28 05:00:00,7.838327324390412
2025-05-28 06:00:00,7.856026035547257
2025-05-28 07:00:00,7.873812365531921
2025-05-28 08:00:00,7.891667038202286
2025-05-28 09:00:00,7.909583336114884
2025-05-28 10:00:00,7.927548992633819
2025-05-28 11:00:00,7.945933467149735
2025-05-28 12:00:00,7.963634222745895
2025-05-28 13:00:00,7.981418800354004
2025-05-28 14:00:00,7.999273180961609
2025-05-28 15:00:00,8.017184805870055
2025-05-28 16:00:00,8.035523134469987
2025-05-28 17:00:00,8.053185921907424
2025-05-28 18:00:00,8.07093866467476
2025-05-28 19:00:00,8.088766759634018
2025-05-28 20:00:00,8.10666173696518
2025-05-28 21:00:00,8.123830646276474
2025-05-28 22:00:00,8.14141720533371
2025-05-28 23:00:00,8.15910832285881
2025-05-29 00:00:00,8.176880925893784
2025-05-29 01:00:00,8.194731509685516
2025-05-29 02:00:00,8.212638753652573
2025-05-29 03:00:00,8.229819637537002
2025-05-29 04:00:00,8.247413206100465
2025-05-29 05:00:00,8.265110164880753
2025-05-29 06:00:00,8.282888025045395
2025-05-29 07:00:00,8.30073773264885
2025-05-29 08:00:00,8.318649941682816
2025-05-29 09:00:00,8.33582819700241
2025-05-29 10:00:00,8.353419429063797
2025-05-29 11:00:00,8.371107918024062
2025-05-29 12:00:00,8.38888314962387
2025-05-29 13:00:00,8.406727600097657
2025-05-29 14:00:00,8.424998170137405
2025-05-29 15:00:00,8.442603421211242
2025-05-29 16:00:00,8.460309433937073
2025-05-29 17:00:00,8.478101313114166
2025-05-29 18:00:00,8.495965331792831
2025-05-29 19:00:00,8.513114088773728
2025-05-29 20:00:00,8.53067786693573
2025-05-29 21:00:00,8.548350584506988
2025-05-29 22:00:00,8.566113549470902
2025-05-29 23:00:00,8.583952742815018
2025-05-30 00:00:00,8.601085436344146
2025-05-30 01:00:00,8.618270701169967
2025-05-30 02:00:00,8.635870403051376
2025-05-30 03:00:00,8.653570866584777
2025-05-30 04:00:00,8.671360117197036
2025-05-30 05:00:00,8.9628355383873
2025-05-30 06:00:00,8.982156074047088
2025-05-30 07:00:00,8.940526616573333
2025-05-30 08:00:00,8.752553272247315
2025-05-30 09:00:00,8.761318075656892
2025-05-30 10:00:00,8.779747235774995
2025-05-30 11:00:00,8.798290300369263
2025-05-30 12:00:00,8.816155487298966
2025-05-30 13:00:00,8.834094274044038
2025-05-30 14:00:00,8.852475535869598
2025-05-30 15:00:00,8.870972162485122
2025-05-30 16:00:00,8.889575392007828
2025-05-30 17:00:00,8.907503080368041
2025-05-30 18:00:00,8.925499695539475
2025-05-30 19:00:00,8.94355326294899
2025-05-30 20:00:00,8.962038207054139
2025-05-30 21:00:00,8.982851183414459
2025-05-30 22:00:00,8.999306583404541
2025-05-30 23:00:00,9.017294728755951
2025-05-31 00:00:00,9.035343039035798
2025-05-31 01:00:00,9.053440415859223
2025-05-31 02:00:00,9.071963912248611
2025-05-31 03:00:00,9.090588462352752
2025-05-31 04:00:00,9.109291577339173
2025-05-31 05:00:00,9.127256941795348
2025-05-31 06:00:00,9.145229023694991
2025-05-31 07:00:00,9.163148826360702
2025-05-31 08:00:00,9.18104029893875
2025-05-31 09:00:00,9.198884165287017
2025-05-31 10:00:00,9.216675460338593
2025-05-31 11:00:00,9.233592319488526
2025-05-31 12:00:00,9.250422435998917
2025-05-31 13:00:00,9.267166101932526
2025-05-31 14:00:00,9.28381543159485
2025-05-31 15:00:00,9.300326615571976
2025-05-31 16:00:00,9.316730320453644
2025-05-31 17:00:00,9.332232719659805
2025-05-31 18:00:00,9.34761683344841
2025-05-31 19:00:00,9.36288207769394
2025-05-31 20:00:00,9.377973836660384
2025-05-31 21:00:00,9.39293913245201
2025-05-31 22:00:00,9.407770663499832
2025-05-31 23:00:00,9.421666133403779
2025-06-01 00:00:00,9.435376727581025
2025-06-01 02:00:00,9.448940122127533
2025-06-01 04:00:00,9.462355440855026
