시간대,긍정,부정,총 댓글 수,log_댓글수,긍정률,긍정률_이동평균
2025-05-14 02:00:00,1.0,2.0,3.0,1.3862943611198906,33.33333333333333,30.89133089133089
2025-05-14 03:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,22.3015873015873
2025-05-14 04:00:00,4.0,3.0,7.0,2.0794415416798357,57.14285714285714,31.825396825396822
2025-05-14 05:00:00,1.0,1.0,2.0,1.0986122886681096,50.0,37.38095238095238
2025-05-14 06:00:00,0.0,7.0,7.0,2.0794415416798357,5.0,37.38095238095238
2025-05-14 07:00:00,3.0,6.0,9.0,2.302585092994046,33.33333333333333,29.444444444444443
2025-05-14 08:00:00,0.0,14.0,14.0,2.70805020110221,5.0,14.444444444444443
2025-05-14 09:00:00,1.0,1.0,2.0,1.0986122886681096,50.0,29.444444444444443
2025-05-14 11:00:00,2.0,4.0,6.0,1.9459101490553132,33.33333333333333,29.444444444444443
2025-05-14 12:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,29.444444444444443
2025-05-14 13:00:00,5.0,27.0,32.0,3.4965075614664802,15.625,17.98611111111111
2025-05-14 14:00:00,8.0,30.0,38.0,3.6635616461296463,21.052631578947366,13.892543859649123
2025-05-14 15:00:00,0.0,3.0,3.0,1.3862943611198906,5.0,13.892543859649123
2025-05-14 16:00:00,1.0,3.0,4.0,1.6094379124341003,25.0,17.017543859649123
2025-05-14 17:00:00,4.0,8.0,12.0,2.5649493574615367,33.33333333333333,21.11111111111111
2025-05-14 18:00:00,0.0,9.0,9.0,2.302585092994046,5.0,21.11111111111111
2025-05-14 19:00:00,0.0,2.0,2.0,1.0986122886681096,5.0,14.444444444444443
2025-05-14 20:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,5.0
2025-05-14 21:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,5.0
2025-05-14 22:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,5.0
2025-05-14 23:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,5.0
2025-05-15 00:00:00,8.0,25.0,33.0,3.5263605246161616,24.242424242424242,11.414141414141413
2025-05-15 01:00:00,2.0,5.0,7.0,2.0794415416798357,28.57142857142857,19.27128427128427
2025-05-15 02:00:00,1.0,5.0,6.0,1.9459101490553132,16.666666666666664,23.16017316017316
2025-05-15 03:00:00,1.0,1.0,2.0,1.0986122886681096,50.0,31.746031746031747
2025-05-15 04:00:00,0.0,3.0,3.0,1.3862943611198906,5.0,23.888888888888886
2025-05-15 05:00:00,1.0,12.0,13.0,2.639057329615259,7.6923076923076925,20.897435897435898
2025-05-15 06:00:00,1.0,12.0,13.0,2.639057329615259,7.6923076923076925,6.794871794871796
2025-05-15 07:00:00,0.0,8.0,8.0,2.1972245773362196,5.0,6.794871794871796
2025-05-15 08:00:00,5.0,13.0,18.0,2.9444389791664403,27.77777777777778,13.490028490028491
2025-05-15 09:00:00,13.0,43.0,56.0,4.04305126783455,23.214285714285715,18.664021164021165
2025-05-15 10:00:00,1.0,28.0,29.0,3.4011973816621555,5.0,18.664021164021165
2025-05-15 11:00:00,9.0,53.0,62.0,4.143134726391533,14.516129032258066,14.24347158218126
2025-05-15 12:00:00,6.0,45.0,51.0,3.9512437185814275,11.76470588235294,10.426944971537003
2025-05-15 13:00:00,1.0,7.0,8.0,2.1972245773362196,12.5,12.926944971537003
2025-05-15 14:00:00,1.0,8.0,9.0,2.302585092994046,11.11111111111111,11.791938997821353
2025-05-15 15:00:00,3.0,17.0,20.0,3.044522437723423,15.0,12.870370370370372
2025-05-15 16:00:00,4.0,35.0,39.0,3.6888794541139363,10.256410256410255,12.122507122507121
